file	verdict	status	note
nova_tests/any_is/box_is_downcast.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/any_is/neg/is_on_primitive.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/any_is/neg/is_on_record.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/neg/plan103_1_ordering_construct_with_payload_neg.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/neg/plan103_1_ordering_invalid_variant_neg.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/neg/plan103_2_atomic_i32_no_such_static_neg.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/neg/plan103_2_atomic_i64_no_such_method_neg.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/neg/plan103_2_atomic_i64_ordering_bad_variant_neg.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/neg/plan103_2_atomic_isize_no_such_method_neg.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/neg/plan103_2_atomic_ptr_no_such_op_neg.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/neg/plan103_2_atomic_u64_no_such_op_neg.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_1_fence_each_ordering.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_1_fence_in_supervised.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_1_fence_smoke_no_crash.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_1_ordering_enum_match.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_1_ordering_passed_as_param.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_2_atomic_bitwise_maxmin.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_2_atomic_bool_expanded.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_2_atomic_explicit_ordering.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_2_atomic_i32_i16_i8.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_2_atomic_i64_basic.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_2_atomic_isize_usize.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_2_atomic_property_additive.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_2_atomic_property_bitwise.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_2_atomic_ptr_basic.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_2_atomic_stress_sequential.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/atomics/plan103_2_atomic_u64_u32_u16_u8.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/basics/control_flow.nv	STALE	CC-FAIL	CC-FAIL: D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7580:6: error: use of undeclared identifier 'apply' | D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7581:42: error: use of undeclare...
nova_tests/basics/functions.nv	STALE	CC-FAIL	CC-FAIL: D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7580:6: error: use of undeclared identifier 'apply' | D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7581:42: error: use of undeclare...
nova_tests/basics/let_const.nv	STALE	CC-FAIL	CC-FAIL: D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7580:6: error: use of undeclared identifier 'apply' | D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7581:42: error: use of undeclare...
nova_tests/basics/literals.nv	STALE	CC-FAIL	CC-FAIL: D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7580:6: error: use of undeclared identifier 'apply' | D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7581:42: error: use of undeclare...
nova_tests/basics/operators.nv	STALE	CC-FAIL	CC-FAIL: D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7580:6: error: use of undeclared identifier 'apply' | D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7581:42: error: use of undeclare...
nova_tests/basics/recursion.nv	STALE	CC-FAIL	CC-FAIL: D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7580:6: error: use of undeclared identifier 'apply' | D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7581:42: error: use of undeclare...
nova_tests/basics/trailing_block.nv	STALE	CC-FAIL	CC-FAIL: D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7580:6: error: use of undeclared identifier 'apply' | D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7581:42: error: use of undeclare...
nova_tests/basics/tuples.nv	STALE	CC-FAIL	CC-FAIL: D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7580:6: error: use of undeclared identifier 'apply' | D:\Sources\nv-lang\nova-198\nova_tests/basics\control_flow.c:7581:42: error: use of undeclare...
nova_tests/buffers/neg/neg_read_oob.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/buffers/read_char_str.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/buffers/read_floats.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/buffers/read_integers.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/buffers/read_nav.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/buffers/read_oob.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/buffers/roundtrip.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/buffers/write_constructors.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/buffers/write_floats.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/buffers/write_integers.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/buffers/write_misc.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/cfg/feature_gate/core.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/feature_gate/experimental.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/feature_gate/stable.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/feature_gate_use.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/cfg/item_level_use.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/cfg/platform_route/core.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/platform_route/impl_linux.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/platform_route/impl_macos.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/platform_route/impl_windows.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/platform_route_use.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/cfg/predicate_all/core.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/predicate_all/impl.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/predicate_all_off/core.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/predicate_all_off/disabled.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/predicate_all_off_use.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/cfg/predicate_all_use.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/cfg/predicate_any/core.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/predicate_any/impl.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/predicate_any_use.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/cfg/predicate_not/core.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/predicate_not/disabled.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/predicate_not_use.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/cfg/target_os_module/bsd_only.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/target_os_module/core.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/target_os_module/helper.nv	N/A-support	NORESULT	support/library file — no independent test unit (imported by sibling test in same dir tree)
nova_tests/cfg/target_os_module_use.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/cgfix_fluent_tail_if/repro.nv	MIGRATE	PASS	compiles+passes; target spec_tests/conformance (language-feature test) unless std-module-shaped
nova_tests/concurrency/_repro_p110.nv	STALE	RUN-FAIL	RUN-FAIL:   PASS: assert(true) inside spawn body — fiber returns cleanly |   PASS: assert(true) inside parallel for body |   PASS: assert after Time.sleep yields — fiber fail-frame survives switch |   PASS: nested...
nova_tests/concurrency/assert_in_fiber.nv	STALE	RUN-FAIL	RUN-FAIL:   PASS: assert(true) inside spawn body — fiber returns cleanly |   PASS: assert(true) inside parallel for body |   PASS: assert after Time.sleep yields — fiber fail-frame survives switch |   PASS: nested...
nova_tests/concurrency/blocking_cancel_test.nv	STALE	RUN-FAIL	RUN-FAIL:   PASS: assert(true) inside spawn body — fiber returns cleanly |   PASS: assert(true) inside parallel for body |   PASS: assert after Time.sleep yields — fiber fail-frame survives switch |   PASS: nested...
nova_tests/concurrency/blocking_driver_test.nv	STALE	RUN-FAIL	RUN-FAIL:   PASS: assert(true) inside spawn body — fiber returns cleanly |   PASS: assert(true) inside parallel for body |   PASS: assert after Time.sleep yields — fiber fail-frame survives switch |   PASS: nested...
nova_tests/concurrency/blocking_offload_test.nv	STALE	RUN-FAIL	RUN-FAIL:   PASS: assert(true) inside spawn body — fiber returns cleanly |   PASS: assert(true) inside parallel for body |   PASS: assert after Time.sleep yields — fiber fail-frame survives switch |   PASS: nested...
nova_tests/concurrency/blocking_pool_saturation_test.nv	STALE	RUN-FAIL	RUN-FAIL:   PASS: assert(true) inside spawn body — fiber returns cleanly |   PASS: assert(true) inside parallel for body |   PASS: assert after Time.sleep yields — fiber fail-frame survives switch |   PASS: nested...
nova_tests/concurrency/blocking_test.nv	STALE	RUN-FAIL	RUN-FAIL:   PASS: assert(true) inside spawn body — fiber returns cleanly |   PASS: assert(true) inside parallel for body |   PASS: assert after Time.sleep yields — fiber fail-frame survives switch |   PASS: nested...
nova_tests/concurrency/cancel_cascade_linked_3.nv	STALE	RUN-FAIL	RUN-FAIL:   PASS: assert(true) inside spawn body — fiber returns cleanly |   PASS: assert(true) inside parallel for body |   PASS: assert after Time.sleep yields — fiber fail-frame survives switch |   PASS: nested...
nova_tests/concurrency/cancel_cross_type_cascade_test.nv	STALE	RUN-FAIL	RUN-FAIL:   PASS: assert(true) inside spawn body — fiber returns cleanly |   PASS: assert(true) inside parallel for body |   PASS: assert after Time.sleep yields — fiber fail-frame survives switch |   PASS: nested...
nova_tests/concurrency/cancel_cycle_linked_tokens.nv	STALE	RUN-FAIL	RUN-FAIL:   PASS: assert(true) inside spawn body — fiber returns cleanly |   PASS: assert(true) inside parallel for body |   PASS: assert after Time.sleep yields — fiber fail-frame survives switch |   PASS: nested...
nova_tests/concurrency/cancel_double_call.nv	STALE	RUN-FAIL	RUN-FAIL:   PASS: assert(true) inside spawn body — fiber returns cleanly |   PASS: assert(true) inside parallel for body |   PASS: assert after Time.sleep yields — fiber fail-frame survives switch |   PASS: nested...
